number,number_suffix,directional,pre_modifier,pre_type,separator,street_name,street_type,subaddress_type,subaddress_id,floor,building,zip,postal_community,state,status,longitude,latitude,x,y
1971,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727405.9165,5223325.208700001,-13727405.9165,5223325.208700001
1975,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727450.9706,5223329.941399999,-13727450.9706,5223329.941399999
1996,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727522.6558,5223290.330200002,-13727522.6558,5223290.330200002
1999,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727451.3585,5223287.194799997,-13727451.3585,5223287.194799997
1141,,,,,,WYLIE,LANE,,,,,97527,GRANTS PASS,OR,Other,-13727555.5362,5223336.762699999,-13727555.5362,5223336.762699999
1949,,SOUTHEAST,,,,HAVILAND,DRIVE,,,,,97527,GRANTS PASS,OR,Other,-13727449.6031,5223388.233599998,-13727449.6031,5223388.233599998
1248,,EAST,,,,VIEW,PLACE,,,,,97527,GRANTS PASS,OR,Other,-13727317.0537,5223331.776900001,-13727317.0537,5223331.776900001
1252,,EAST,,,,VIEW,PLACE,,,,,97527,GRANTS PASS,OR,Other,-13727277.6623,5223351.8904,-13727277.6623,5223351.8904
1274,,EAST,,,,VIEW,PLACE,,,,,97527,GRANTS PASS,OR,Other,-13727314.6882,5223298.461099997,-13727314.6882,5223298.461099997
1535,,NORTHEAST,,,,A,STREET,,,,,97526,GRANTS PASS,OR,Other,-13726232.2797,5227483.982500002,-13726232.2797,5227483.982500002
1525,,NORTHEAST,,,,A,STREET,,,,,97526,GRANTS PASS,OR,Other,-13726264.885499999,5227475.848899998,-13726264.885499999,5227475.848899998
501,,NORTHEAST,,,,ROYAL,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13726076.884100001,5227399.498999998,-13726076.884100001,5227399.498999998
1481,,NORTHEAST,,,,GRABLE,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13726313.5915,5227358.997500002,-13726313.5915,5227358.997500002
1480,,NORTHEAST,,,,GRABLE,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13726312.2254,5227399.3741,-13726312.2254,5227399.3741
450,,NORTHEAST,,,,SOVEREIGN,AVENUE,,,,,97526,GRANTS PASS,OR,Other,-13726225.313099999,5227414.732699998,-13726225.313099999,5227414.732699998
1601,,NORTHEAST,,,,FOOTHILL,BOULEVARD,,,,,97526,GRANTS PASS,OR,Other,-13726066.945799999,5227440.705499999,-13726066.945799999,5227440.705499999
895,,SOUTHEAST,,,,GLADIOLA,DRIVE,,,,,97526,GRANTS PASS,OR,Other,-13725499.0004,5225500.913900003,-13725499.0004,5225500.913900003
